Emotion,Precision,Recall,F1
admiration,0.6122448979591837,0.38961038961038963,0.47619047619047616
amusement,0.5135135135135135,0.6333333333333333,0.5671641791044776
anger,0.391304347826087,0.23684210526315788,0.29508196721311475
annoyance,0.625,0.09615384615384616,0.16666666666666666
approval,0.5,0.11392405063291139,0.18556701030927836
caring,0.5,0.2916666666666667,0.3684210526315789
confusion,0.2857142857142857,0.10526315789473684,0.15384615384615385
curiosity,0.6666666666666666,0.10810810810810811,0.18604651162790697
desire,0.375,0.16666666666666666,0.23076923076923078
disappointment,0.5,0.0967741935483871,0.16216216216216217
disapproval,0.3333333333333333,0.09302325581395349,0.14545454545454545
disgust,0.25,0.15384615384615385,0.19047619047619047
embarrassment,0.3333333333333333,0.125,0.18181818181818182
excitement,0.2857142857142857,0.08,0.125
fear,0.14285714285714285,0.16666666666666666,0.15384615384615385
gratitude,0.967741935483871,0.8108108108108109,0.8823529411764706
grief,0.0,0.0,0.0
joy,0.6153846153846154,0.20512820512820512,0.3076923076923077
love,0.6744186046511628,0.6744186046511628,0.6744186046511628
nervousness,1.0,0.1111111111111111,0.2
optimism,0.4782608695652174,0.3142857142857143,0.3793103448275862
pride,0.0,0.0,0.0
realization,0.3333333333333333,0.06060606060606061,0.10256410256410256
relief,0.0,0.0,0.0
remorse,0.5714285714285714,0.4,0.47058823529411764
sadness,0.6153846153846154,0.36363636363636365,0.45714285714285713
surprise,0.3333333333333333,0.09090909090909091,0.14285714285714285
neutral,0.55,0.4292682926829268,0.4821917808219178
