Emotion,Precision,Recall,F1
admiration,0.9746835443037974,1.0,0.9871794871794872
amusement,1.0,1.0,1.0
anger,1.0,1.0,1.0
annoyance,0.9811320754716981,1.0,0.9904761904761905
approval,0.9875,1.0,0.9937106918238994
caring,1.0,1.0,1.0
confusion,1.0,1.0,1.0
curiosity,1.0,1.0,1.0
desire,0.9473684210526315,1.0,0.972972972972973
disappointment,0.96875,1.0,0.9841269841269841
disapproval,1.0,1.0,1.0
disgust,1.0,1.0,1.0
embarrassment,1.0,1.0,1.0
excitement,1.0,1.0,1.0
fear,0.8571428571428571,1.0,0.9230769230769231
gratitude,1.0,1.0,1.0
grief,0.6666666666666666,1.0,0.8
joy,0.9512195121951219,1.0,0.975
love,1.0,1.0,1.0
nervousness,0.9,1.0,0.9473684210526315
optimism,1.0,1.0,1.0
pride,1.0,1.0,1.0
realization,0.9705882352941176,1.0,0.9850746268656716
relief,1.0,1.0,1.0
remorse,0.9090909090909091,1.0,0.9523809523809523
sadness,0.9166666666666666,1.0,0.9565217391304348
surprise,1.0,1.0,1.0
neutral,0.9951456310679612,1.0,0.9975669099756691
