Emotion,Precision,Recall,F1
admiration,0.6198019801980198,0.472809667673716,0.5364181662382177
amusement,0.5533707865168539,0.5794117647058824,0.5660919540229885
anger,0.3888888888888889,0.2079207920792079,0.2709677419354839
annoyance,0.3950617283950617,0.0642570281124498,0.11053540587219343
approval,0.43478260869565216,0.1109350237717908,0.17676767676767677
caring,0.40425531914893614,0.16521739130434782,0.2345679012345679
confusion,0.5316455696202531,0.14840989399293286,0.23204419889502761
curiosity,0.453781512605042,0.13953488372093023,0.2134387351778656
desire,0.44642857142857145,0.16447368421052633,0.2403846153846154
disappointment,0.3939393939393939,0.08150470219435736,0.13506493506493505
disapproval,0.32575757575757575,0.09817351598173515,0.15087719298245614
disgust,0.42857142857142855,0.14634146341463414,0.21818181818181817
embarrassment,0.5882352941176471,0.19230769230769232,0.2898550724637681
excitement,0.35294117647058826,0.08737864077669903,0.14007782101167315
fear,0.43209876543209874,0.33653846153846156,0.3783783783783784
gratitude,0.896640826873385,0.7711111111111111,0.8291517323775388
grief,0.0,0.0,0.0
joy,0.5076923076923077,0.22,0.30697674418604654
love,0.5820433436532507,0.6163934426229508,0.5987261146496815
nervousness,0.6363636363636364,0.0875,0.15384615384615385
optimism,0.4794520547945205,0.24054982817869416,0.32036613272311215
pride,0.5,0.047619047619047616,0.08695652173913043
realization,0.38,0.05846153846153846,0.10133333333333333
relief,0.8333333333333334,0.11904761904761904,0.20833333333333334
remorse,0.44285714285714284,0.31313131313131315,0.3668639053254438
sadness,0.4609375,0.24686192468619247,0.3215258855585831
surprise,0.43373493975903615,0.1836734693877551,0.25806451612903225
neutral,0.5581993569131832,0.39725400457665905,0.4641711229946524
