Emotion,Precision,Recall,F1
admiration,0.9586410635155096,0.9803625377643505,0.9693801344286781
amusement,0.9649122807017544,0.9705882352941176,0.967741935483871
anger,0.956953642384106,0.9537953795379538,0.9553719008264463
annoyance,0.9446640316205533,0.9598393574297188,0.952191235059761
approval,0.9433384379785605,0.9762282091917591,0.9595015576323987
caring,0.934156378600823,0.9869565217391304,0.959830866807611
confusion,0.9315068493150684,0.9611307420494699,0.9460869565217391
curiosity,0.9496221662468514,0.9741602067183462,0.9617346938775511
desire,0.9736842105263158,0.9736842105263158,0.9736842105263158
disappointment,0.9393939393939394,0.9717868338557993,0.9553158705701078
disapproval,0.946067415730337,0.9611872146118722,0.9535673839184597
disgust,0.9212962962962963,0.9707317073170731,0.9453681710213777
embarrassment,0.9363636363636364,0.9903846153846154,0.9626168224299065
excitement,0.9420289855072463,0.9466019417475728,0.9443099273607748
fear,0.9245283018867925,0.9423076923076923,0.9333333333333333
gratitude,0.9844097995545658,0.9822222222222222,0.9833147942157954
grief,0.8,0.8888888888888888,0.8421052631578947
joy,0.9377049180327869,0.9533333333333334,0.9454545454545454
love,0.9644012944983819,0.9770491803278688,0.9706840390879479
nervousness,0.9493670886075949,0.9375,0.9433962264150944
optimism,0.9489795918367347,0.9587628865979382,0.9538461538461539
pride,0.9523809523809523,0.9523809523809523,0.9523809523809523
realization,0.9631901840490797,0.9661538461538461,0.9646697388632872
relief,0.975609756097561,0.9523809523809523,0.963855421686747
remorse,0.9514563106796117,0.98989898989899,0.9702970297029703
sadness,0.9510204081632653,0.9748953974895398,0.9628099173553719
surprise,0.9396984924623115,0.9540816326530612,0.9468354430379747
neutral,0.9623149394347241,0.9816933638443935,0.9719075668328047
