Emotion,Precision,Recall,F1
admiration,0.330367734282325,0.8413897280966768,0.4744463373083475
amusement,0.33221850613154963,0.8764705882352941,0.48181083265966046
anger,0.17869184086311532,0.8745874587458746,0.2967525195968645
annoyance,0.16849370686155096,0.8333333333333334,0.28031070584262074
approval,0.17447129909365558,0.7321711568938193,0.2817932296431839
caring,0.16447368421052633,0.8695652173913043,0.2766251728907331
confusion,0.16205266711681296,0.8480565371024735,0.272108843537415
curiosity,0.22338049143708116,0.7751937984496124,0.3468208092485549
desire,0.12173128944995491,0.8881578947368421,0.2141157811260904
disappointment,0.12505899008966492,0.8307210031347962,0.21739130434782608
disapproval,0.17084493964716807,0.8401826484018264,0.2839506172839506
disgust,0.13532763532763534,0.926829268292683,0.23617153511497824
embarrassment,0.09196428571428572,0.9903846153846154,0.16830065359477125
excitement,0.11030741410488246,0.8883495145631068,0.19624664879356568
fear,0.14203730272596843,0.9519230769230769,0.24719101123595505
gratitude,0.524869109947644,0.8911111111111111,0.6606260296540363
grief,0.08108108108108109,1.0,0.15
joy,0.1603830041891083,0.8933333333333333,0.2719431760527651
love,0.38386648122392214,0.9049180327868852,0.5390625
nervousness,0.10618279569892473,0.9875,0.19174757281553398
optimism,0.15112736136502133,0.852233676975945,0.2567287784679089
pride,0.075,1.0,0.13953488372093023
realization,0.12390198797965789,0.8246153846153846,0.21543408360128619
relief,0.08433734939759036,1.0,0.15555555555555556
remorse,0.16994633273703041,0.9595959595959596,0.2887537993920973
sadness,0.17298187808896212,0.8786610878661087,0.289057123193393
surprise,0.14788732394366197,0.8571428571428571,0.25225225225225223
neutral,0.4122587968217934,0.8311212814645309,0.5511380880121396
