Emotion,Precision,Recall,F1
admiration,0.08321479374110953,0.8836858006042296,0.15210608424336974
amusement,0.05236320847224946,0.7852941176470588,0.09817981246552675
anger,0.03980099502487562,0.132013201320132,0.06116207951070336
annoyance,0.05240549828178694,0.6124497991967871,0.09654954099398544
approval,0.07300454250486697,0.7131537242472267,0.13245033112582782
caring,0.04651851851851852,0.6826086956521739,0.08710124826629681
confusion,0.03805995284607612,0.7985865724381626,0.07265712907892621
curiosity,0.04638218923933209,0.32299741602067183,0.08111615833874107
desire,0.03628560280920796,0.6118421052631579,0.06850828729281767
disappointment,0.03739996733627307,0.7178683385579937,0.07109593294008072
disapproval,0.06933523945675482,0.6643835616438356,0.1255663430420712
disgust,0.02003129890453834,0.624390243902439,0.038817285822592876
embarrassment,0.012187782124586218,0.7788461538461539,0.024
excitement,0.024119448698315466,0.3058252427184466,0.044712562100780694
fear,0.01653575857792476,0.7692307692307693,0.03237555645487657
gratitude,0.12658227848101267,0.5777777777777777,0.20766773162939298
grief,0.001520912547528517,0.8888888888888888,0.0030366293414310114
joy,0.02631578947368421,0.44666666666666666,0.04970326409495549
love,0.019507515190278223,0.2,0.035547785547785545
nervousness,0.013119055428009183,0.5,0.02556727388942154
optimism,0.024916943521594685,0.4639175257731959,0.047293746715712036
pride,0.002900232018561485,0.11904761904761904,0.0056625141562853904
realization,0.04136148211977596,0.8861538461538462,0.07903402854006586
relief,0.005812788133894568,0.6904761904761905,0.011528523156430133
remorse,0.0023521505376344087,0.0707070707070707,0.0045528455284552845
sadness,0.027182603133994242,0.35564853556485354,0.050505050505050504
surprise,0.02807145461173897,0.7857142857142857,0.054206265399507216
neutral,0.16238487639360155,0.15331807780320367,0.15772128060263654
