Emotion,Precision,Recall,F1
admiration,0.9390070921985816,1.0,0.9685442574981712
amusement,0.9366391184573003,1.0,0.9672830725462305
anger,0.8991097922848664,1.0,0.946875
annoyance,0.9054545454545454,1.0,0.950381679389313
approval,0.9210526315789473,0.9984152139461173,0.9581749049429658
caring,0.9236947791164659,1.0,0.9603340292275574
confusion,0.9012738853503185,1.0,0.948073701842546
curiosity,0.9280575539568345,1.0,0.9626865671641791
desire,0.9440993788819876,1.0,0.9712460063897763
disappointment,0.9114285714285715,1.0,0.953662182361734
disapproval,0.9030927835051547,1.0,0.9490790899241603
disgust,0.8991228070175439,1.0,0.9468822170900693
embarrassment,0.9285714285714286,1.0,0.9629629629629629
excitement,0.8803418803418803,1.0,0.9363636363636364
fear,0.8739495798319328,1.0,0.9327354260089686
gratitude,0.9635974304068522,1.0,0.9814612868047983
grief,0.6923076923076923,1.0,0.8181818181818182
joy,0.8823529411764706,1.0,0.9375
love,0.9355828220858896,1.0,0.9667194928684627
nervousness,0.898876404494382,1.0,0.9467455621301775
optimism,0.8953846153846153,1.0,0.9448051948051948
pride,0.9130434782608695,1.0,0.9545454545454546
realization,0.9232954545454546,1.0,0.9601181683899557
relief,0.9333333333333333,1.0,0.9655172413793104
remorse,0.9428571428571428,1.0,0.9705882352941176
sadness,0.9227799227799228,1.0,0.9598393574297188
surprise,0.8990825688073395,1.0,0.9468599033816425
neutral,0.9430297798877859,1.0,0.9706796979120391
