title,symptom_sections
Adult attention-deficit/hyperactivity disorder (ADHD),"[{'category': 'Symptoms', 'subcategory': 'Sorry something went wrong with your subscription', 'symptoms': ['Genetics. ADHD can run in families, and studies indicate that genes may play a role.', 'Environment. Certain environmental factors also may increase risk, such as lead exposure as a child.', 'Problems during development. Problems with the central nervous system at key moments in development may play a role.']}, {'category': 'Symptoms', 'subcategory': 'Sorry something went wrong with your subscription', 'symptoms': ['You have blood relatives, such as a parent or sibling, with ADHD or another mental health disorder', 'Your mother smoked, drank alcohol or used drugs during pregnancy', 'As a child, you were exposed to environmental toxins — such as lead, found mainly in paint and pipes in older buildings', 'You were born prematurely']}, {'category': 'Symptoms', 'subcategory': 'Sorry something went wrong with your subscription', 'symptoms': ['Poor school or work performance', 'Unemployment', 'Financial problems', 'Trouble with the law', 'Alcohol or other substance misuse', 'Frequent car accidents or other accidents', 'Unstable relationships', 'Poor physical and mental health', 'Poor self-image', 'Suicide attempts']}, {'category': 'Symptoms', 'subcategory': 'Coexisting conditions', 'symptoms': [""Mood disorders. Many adults with ADHD also have depression, bipolar disorder or another mood disorder. While mood problems aren't necessarily due directly to ADHD, a repeated pattern of failures and frustrations due to ADHD can worsen depression."", 'Anxiety disorders. Anxiety disorders occur fairly often in adults with ADHD. Anxiety disorders may cause overwhelming worry, nervousness and other symptoms. Anxiety can be made worse by the challenges and setbacks caused by ADHD.', 'Other psychiatric disorders. Adults with ADHD are at increased risk of other psychiatric disorders, such as personality disorders, intermittent explosive disorder and substance use disorders.', 'Learning disabilities. Adults with ADHD may score lower on academic testing than would be expected for their age, intelligence and education. Learning disabilities can include problems with understanding and communicating.']}]"
Mental illness,"[{'category': 'Symptoms', 'subcategory': 'If you have suicidal thoughts', 'symptoms': ['Call 911 or your local emergency number immediately.', 'Call your mental health specialist.', 'Contact a suicide hotline. In the U.S., call or text 988 to reach the 988 Suicide & Crisis Lifeline, available 24 hours a day, seven days a week. Or use the Lifeline Chat. Services are free and confidential.', 'Seek help from your primary care provider.', 'Reach out to a close friend or loved one.', 'Contact a minister, spiritual leader or someone else in your faith community.']}, {'category': 'Symptoms', 'subcategory': 'Sorry something went wrong with your subscription', 'symptoms': ['Inherited traits. Mental illness is more common in people whose blood relatives also have a mental illness. Certain genes may increase your risk of developing a mental illness, and your life situation may trigger it.', 'Environmental exposures before birth. Exposure to environmental stressors, inflammatory conditions, toxins, alcohol or drugs while in the womb can sometimes be linked to mental illness.', 'Brain chemistry. Neurotransmitters are naturally occurring brain chemicals that carry signals to other parts of your brain and body. When the neural networks involving these chemicals are impaired, the function of nerve receptors and nerve systems change, leading to depression and other emotional disorders.']}, {'category': 'Symptoms', 'subcategory': 'Sorry something went wrong with your subscription', 'symptoms': ['A history of mental illness in a blood relative, such as a parent or sibling', ""Stressful life situations, such as financial problems, a loved one's death or a divorce"", 'An ongoing (chronic) medical condition, such as diabetes', 'Brain damage as a result of a serious injury (traumatic brain injury), such as a violent blow to the head', 'Traumatic experiences, such as military combat or assault', 'Use of alcohol or recreational drugs', 'A childhood history of abuse or neglect', 'Few friends or few healthy relationships', 'A previous mental illness']}, {'category': 'Symptoms', 'subcategory': 'Sorry something went wrong with your subscription', 'symptoms': ['Unhappiness and decreased enjoyment of life', 'Family conflicts', 'Relationship difficulties', 'Social isolation', 'Problems with tobacco, alcohol and other drugs', 'Missed work or school, or other problems related to work or school', 'Legal and financial problems', 'Poverty and homelessness', 'Self-harm and harm to others, including suicide or homicide', 'Weakened immune system, so your body has a hard time resisting infections', 'Heart disease and other medical conditions']}]"
Depression (major depressive disorder),"[{'category': 'Symptoms', 'subcategory': 'Depression symptoms in children and teens', 'symptoms': ['In younger children, symptoms of depression may include sadness, irritability, clinginess, worry, aches and pains, refusing to go to school, or being underweight.', 'In teens, symptoms may include sadness, irritability, feeling negative and worthless, anger, poor performance or poor attendance at school, feeling misunderstood and extremely sensitive, using recreational drugs or alcohol, eating or sleeping too much, self-harm, loss of interest in normal activities, and avoidance of social interaction.']}, {'category': 'Symptoms', 'subcategory': 'Depression symptoms in older adults', 'symptoms': ['Memory difficulties or personality changes', 'Physical aches or pain', 'Fatigue, loss of appetite, sleep problems or loss of interest in sex — not caused by a medical condition or medication', 'Often wanting to stay at home, rather than going out to socialize or doing new things', 'Suicidal thinking or feelings, especially in older men']}]"
Anxiety disorders,"[{'category': 'Symptoms', 'subcategory': 'When to see a doctor', 'symptoms': [""You feel like you're worrying too much and it's interfering with your work, relationships or other parts of your life"", 'Your fear, worry or anxiety is upsetting to you and difficult to control', 'You feel depressed, have trouble with alcohol or drug use, or have other mental health concerns along with anxiety', 'You think your anxiety could be linked to a physical health problem', 'You have suicidal thoughts or behaviors — if this is the case, seek emergency treatment immediately']}, {'category': 'Symptoms', 'subcategory': 'Medical causes', 'symptoms': ['Heart disease', 'Diabetes', 'Thyroid problems, such as hyperthyroidism', 'Respiratory disorders, such as chronic obstructive pulmonary disease (COPD) and asthma', 'Drug misuse or withdrawal', 'Withdrawal from alcohol, anti-anxiety medications (benzodiazepines) or other medications', 'Chronic pain or irritable bowel syndrome', 'Rare tumors that produce certain fight-or-flight hormones']}, {'category': 'Symptoms', 'subcategory': 'Medical causes', 'symptoms': [""You don't have any blood relatives (such as a parent or sibling) with an anxiety disorder"", ""You didn't have an anxiety disorder as a child"", ""You don't avoid certain things or situations because of anxiety"", ""You have a sudden occurrence of anxiety that seems unrelated to life events and you didn't have a previous history of anxiety""]}, {'category': 'Symptoms', 'subcategory': 'Medical causes', 'symptoms': ['Trauma. Children who endured abuse or trauma or witnessed traumatic events are at higher risk of developing an anxiety disorder at some point in life. Adults who experience a traumatic event also can develop anxiety disorders.', 'Stress due to an illness. Having a health condition or serious illness can cause significant worry about issues such as your treatment and your future.', 'Stress buildup. A big event or a buildup of smaller stressful life situations may trigger excessive anxiety — for example, a death in the family, work stress or ongoing worry about finances.', 'Personality. People with certain personality types are more prone to anxiety disorders than others are.', 'Other mental health disorders. People with other mental health disorders, such as depression, often also have an anxiety disorder.', 'Having blood relatives with an anxiety disorder. Anxiety disorders can run in families.', 'Drugs or alcohol. Drug or alcohol use or misuse or withdrawal can cause or worsen anxiety.']}]"
Schizophrenia,"[{'category': 'Symptoms', 'subcategory': 'Symptoms in teenagers', 'symptoms': ['Withdrawing from friends and family.', 'Not doing well in school.', 'Having trouble sleeping.', 'Feeling irritable or depressed.', 'Lacking motivation.']}, {'category': 'Symptoms', 'subcategory': 'Sorry something went wrong with your subscription', 'symptoms': ['A family history of schizophrenia.', 'Life experiences, such as living in poverty, stress or danger.', 'Some pregnancy and birth issues, such as not getting enough nutrition before or after birth, low birth weight, or exposure to toxins or viruses before birth that may affect brain development.', 'Taking mind-altering — also called psychoactive or psychotropic — drugs as a teen or young adult.']}, {'category': 'Symptoms', 'subcategory': 'Sorry something went wrong with your subscription', 'symptoms': ['Suicide, suicide attempts and thoughts of suicide.', 'Anxiety disorders and obsessive-compulsive disorder, also known as OCD.', 'Depression.', 'Misuse of alcohol or other drugs, including nicotine.', 'Not being able to work or attend school.', 'Money problems and homelessness.', 'Social isolation.', 'Health and medical problems.', 'Being victimized.', 'Aggressive or violent behavior, though people with schizophrenia are more likely to be assaulted rather than assault others.']}]"
Bipolar disorder,"[{'category': 'Symptoms', 'subcategory': 'Mania and hypomania', 'symptoms': ['Being much more active, energetic or agitated than usual.', 'Feeling a distorted sense of well-being or too self-confident.', 'Needing much less sleep than usual.', 'Being unusually talkative and talking fast.', 'Having racing thoughts or jumping quickly from one topic to another.', 'Being easy to distract.', 'Making poor decisions. For example, you may go on buying sprees, take sexual risks or make foolish investments.']}, {'category': 'Symptoms', 'subcategory': 'Major depressive episode', 'symptoms': ['Having a depressed mood. You may feel sad, empty, hopeless or tearful. Children and teens who are depressed can seem irritable, angry or hostile.', 'Having a marked loss of interest or feeling no pleasure in all or most activities.', ""Losing a lot of weight when not dieting or overeating and gaining weight. When children don't gain weight as expected, this can be a sign of depression."", 'Sleeping too little or too much.', 'Feeling restless or acting slower than usual.', 'Being very tired or losing energy.', ""Feeling worthless, feeling too guilty or feeling guilty when it's not necessary."", 'Having a hard time thinking or concentrating, or not being able to make decisions.', 'Thinking about, planning or attempting suicide.']}, {'category': 'Symptoms', 'subcategory': 'Other features of bipolar disorder', 'symptoms': [""Anxious distress, when you're feeling symptoms of anxiety and fear that you're losing control."", 'Melancholy, when you feel very sad and have a deep loss of pleasure.', 'Psychosis, when your thoughts or emotions disconnect from reality.']}, {'category': 'Symptoms', 'subcategory': 'Other features of bipolar disorder', 'symptoms': ['Mixed, when you have symptoms of depression and mania or hypomania at the same time.', 'Rapid cycling, when you have four mood episodes in the past year where you switch between mania and hypomania and major depression.']}]"
Mood disorders,"[{'category': 'Symptoms', 'subcategory': 'When to see a doctor', 'symptoms': [""Feel like your emotions are getting in the way of work, how you get along with others or other areas of your life, or you're not taking part in social activities."", 'Have trouble with alcohol or drugs.', 'Are thinking about taking your own life. If this is the case, seek emergency treatment at once.']}]"
Post-traumatic stress disorder (PTSD),"[{'category': 'Symptoms', 'subcategory': 'Intrusive memories', 'symptoms': ['Unwanted, distressing memories of a traumatic event that come back over and over again.', 'Reliving a traumatic event as if it were happening again, also known as flashbacks.', 'Upsetting dreams or nightmares about a traumatic event.', 'Severe emotional distress or physical reactions to something that reminds you of a traumatic event.']}, {'category': 'Symptoms', 'subcategory': 'Avoidance', 'symptoms': ['Trying not to think or talk about a traumatic event.', 'Staying away from places, activities or people that remind you of a traumatic event.']}, {'category': 'Symptoms', 'subcategory': 'Negative changes in thinking and mood', 'symptoms': ['Negative thoughts about yourself, other people or the world.', 'Ongoing negative emotions of fear, blame, guilt, anger or shame.', 'Memory problems, including not remembering important aspects of a traumatic event.', 'Feeling detached from family and friends.', 'Not being interested in activities you once enjoyed.', 'Having a hard time feeling positive emotions.', 'Feeling emotionally numb.']}, {'category': 'Symptoms', 'subcategory': 'Changes in physical and emotional reactions', 'symptoms': ['Being easily startled or frightened.', 'Always being on guard for danger.', 'Self-destructive behavior, such as drinking too much or driving too fast.', 'Trouble sleeping.', 'Trouble concentrating.', 'Irritability, angry outbursts or aggressive behavior.', 'Physical reactions, such as sweating, rapid breathing, fast heartbeat or shaking.']}, {'category': 'Symptoms', 'subcategory': 'Changes in physical and emotional reactions', 'symptoms': ['Reenacting a traumatic event or aspects of a traumatic event through play.', 'Frightening dreams that may or may not include aspects of a traumatic event.']}]"
Obsessive-compulsive disorder (OCD),"[{'category': 'Symptoms', 'subcategory': 'Obsession symptoms', 'symptoms': ['Fear of contamination or dirt.', 'Doubting and having a hard time dealing with uncertainty.', 'Needing things to be orderly and balanced.', 'Aggressive or horrific thoughts about losing control and harming yourself or others.', 'Unwanted thoughts, including aggression, or sexual or religious subjects.']}, {'category': 'Symptoms', 'subcategory': 'Obsession symptoms', 'symptoms': ['Fear of being contaminated by touching objects others have touched.', ""Doubts that you've locked the door or turned off the stove."", ""Intense stress when objects aren't orderly or facing a certain way."", 'Images of driving your car into a crowd of people.', 'Thoughts about shouting obscenities or not acting the right way in public.', 'Unpleasant sexual images.', 'Staying away from situations that can cause obsessions, such as shaking hands.']}, {'category': 'Symptoms', 'subcategory': 'Compulsion symptoms', 'symptoms': ['Washing and cleaning.', 'Checking.', 'Counting.', 'Ordering.', 'Following a strict routine.', 'Demanding reassurance.']}, {'category': 'Symptoms', 'subcategory': 'Compulsion symptoms', 'symptoms': ['Hand-washing until your skin becomes raw.', ""Checking doors over and over again to make sure they're locked."", ""Checking the stove over and over again to make sure it's off."", 'Counting in certain patterns.', 'Silently repeating a prayer, word or phrase.', 'Trying to replace a bad thought with a good thought.', 'Arranging your canned goods to face the same way.']}]"
Eating disorders,"[{'category': 'Symptoms', 'subcategory': 'Urging a loved one to seek treatment', 'symptoms': ['Skipping meals or snacks or making excuses for not eating.', ""Having a very limited diet that hasn't been prescribed by a trained medical professional."", 'Too much focus on food or healthy eating, especially if it means not participating in usual events, such as sports banquets, eating birthday cake or dining out.', 'Making own meals rather than eating what the family eats.', 'Withdrawing from usual social activities.', 'Frequent and ongoing worry or complaints about being unhealthy or overweight and talk of losing weight.', 'Frequent checking in the mirror for what are thought to be flaws.', 'Repeatedly eating large amounts of foods.', 'Using dietary supplements, laxatives or herbal products for weight loss.', 'Exercising much more than the average person. This includes not taking rest days or days off for injury or illness or refusing to attend social events or other life events because of wanting to exercise.', 'Calluses on the knuckles from reaching fingers into the mouth to cause vomiting.', 'Problems with loss of tooth enamel that may be a sign of repeated vomiting.', 'Leaving during meals or right after a meal to use the toilet.', 'Talk of depression, disgust, shame or guilt about eating habits.', 'Eating in secret.']}, {'category': 'Symptoms', 'subcategory': 'Sorry something went wrong with your subscription', 'symptoms': ['Genetics. Some people may have genes that increase their risk of developing eating disorders.', 'Biology. Biological factors, such as changes in brain chemicals, may play a role in eating disorders.']}]"
