Model,Train F1 Micro,Train F1 Macro,Test F1 Micro,Test F1 Macro,Best Epoch (Acc),Best F1 (Acc),Best Accuracy (Acc),Best Epoch (F1),Best F1 (F1),Best Accuracy (F1)
EMOTIONS | LogReg TFIDF,0.11187739463601533,0.060913808450169984,0.11187739463601533,0.060913808450169984,0,0.11187739463601533,0.0655,0,0.11187739463601533,0.0655
EMOTIONS | SVM TFIDF (linear),0.1748477248298101,0.09294992975804181,0.1748477248298101,0.09294992975804181,0,0.1748477248298101,0.097,0,0.1748477248298101,0.097
EMOTIONS | SVM TFIDF (poly),0.10402930402930403,0.07098235171268118,0.10402930402930403,0.07098235171268118,0,0.10402930402930403,0.0565,0,0.10402930402930403,0.0565
EMOTIONS | SVM TFIDF (rbf),0.1556047197640118,0.07986228395767202,0.1556047197640118,0.07986228395767202,0,0.1556047197640118,0.0855,0,0.1556047197640118,0.0855
EMOTIONS | SVM TFIDF (sigmoid),0.16563298066399124,0.08405278550092397,0.16563298066399124,0.08405278550092397,0,0.16563298066399124,0.091,0,0.16563298066399124,0.091
EMOTIONS | LogReg BERT,0.305,0.2030426473852383,0.305,0.2030426473852383,0,0.305,0.305,0,0.305,0.305
EMOTIONS | SVM BERT (linear),0.274213222737253,0.19728075423293623,0.274213222737253,0.19728075423293623,0,0.274213222737253,0.1515,0,0.274213222737253,0.1515
EMOTIONS | SVM BERT (poly),0.23614958448753462,0.14118189607995243,0.23614958448753462,0.14118189607995243,0,0.23614958448753462,0.139,0,0.23614958448753462,0.139
EMOTIONS | SVM BERT (rbf),0.22277403334515786,0.1083270002658105,0.22277403334515786,0.1083270002658105,0,0.22277403334515786,0.1315,0,0.22277403334515786,0.1315
EMOTIONS | SVM BERT (sigmoid),0.2555523507355062,0.12173549394943466,0.2555523507355062,0.12173549394943466,0,0.2555523507355062,0.147,0,0.2555523507355062,0.147
EMOTIONS | MLP 2-layer,0.5567750396907573,0.3731461089903454,0.34804753820033957,0.2377987243822392,0,0.34804753820033957,0.237,0,0.34804753820033957,0.237
EMOTIONS | MLP 3-layer,0.6843760025665704,0.48755263733237425,0.35063876053275345,0.25098949259222436,0,0.35063876053275345,0.239,0,0.35063876053275345,0.239
EMOTIONS | cnn_large_weighted_bce_dropout_0.5_learning_rate_e-5,0.6835760368663595,0.7069332111932256,0.3872249388753056,0.3067128655488828,0,0.3872249388753056,0.138,0,0.3872249388753056,0.138
EMOTIONS | cnn_large_weighted_bce_dropout_0.4_learning_rate_e-5,0.6977530622980386,0.7208652762346393,0.3919442292796282,0.31302230649931234,0,0.3919442292796282,0.1385,0,0.3919442292796282,0.1385
EMOTIONS | cnn_large_weighted_bce_dropout_0.5_learning_rate_e-6,0.3172466446998312,0.28280459579433515,0.2788408098451767,0.24085569439063334,0,0.2788408098451767,0.0215,0,0.2788408098451767,0.0215
EMOTIONS | cnn_large_weighted_bce_dropout_0.4_learning_rate_e-6,0.32373230061720926,0.2930433340971959,0.2827664033532162,0.24579856516937845,0,0.2827664033532162,0.0185,0,0.2827664033532162,0.0185
EMOTIONS | BiLSTM bilstm_default,0.6761217309296674,0.6828840720280897,0.34993503681247295,0.2723616400914158,0,0.34993503681247295,0.1215,0,0.34993503681247295,0.1215
EMOTIONS | BiLSTM bilstm_small_hidden,0.8388542740597965,0.83357252083733,0.33049946865037194,0.260517537212964,0,0.33049946865037194,0.18,0,0.33049946865037194,0.18
EMOTIONS | BiLSTM bilstm_large_hidden,0.8350427733237784,0.8339352092143215,0.3412452700378397,0.2639405075080486,0,0.3412452700378397,0.1525,0,0.3412452700378397,0.1525
EMOTIONS | BiLSTM bilstm_more_layers,0.7916472531661655,0.806335101803545,0.3480132450331126,0.26786757017246315,0,0.3480132450331126,0.151,0,0.3480132450331126,0.151
EMOTIONS | BiLSTM bilstm_more_dropout,0.7907429345066848,0.7934779876289505,0.35104616406509465,0.27139119497150593,0,0.35104616406509465,0.164,0,0.35104616406509465,0.164
EMOTIONS | BiLSTM bilstm_lr_1e5,0.6990225817323896,0.707625336711323,0.3389159561510353,0.2634796545122926,0,0.3389159561510353,0.1415,0,0.3389159561510353,0.1415
EMOTIONS | BiLSTM bilstm_lr_1e6,0.291534362059681,0.25988121103979084,0.2647341566220513,0.2309931780841393,0,0.2647341566220513,0.011,0,0.2647341566220513,0.011
EMOTIONS | BERT finetune_default,0.9599714809533509,0.9514533058390713,0.3671906489318823,0.2797045202182975,0,0.3671906489318823,0.2455,0,0.3671906489318823,0.2455
EMOTIONS | BERT finetune_lr_1e5,0.9601670741646292,0.9516424911621203,0.3626796195102206,0.2910748105973472,0,0.3626796195102206,0.233,0,0.3626796195102206,0.233
EMOTIONS | BERT finetune_lr_1e6,0.907295719844358,0.867491626939708,0.3554107853782121,0.29303157180315903,0,0.3554107853782121,0.2035,0,0.3554107853782121,0.2035
EMOTIONS | BERT finetune_dropout_0.4,0.8833546795692804,0.8412307081306707,0.3561931420573828,0.2869285129966615,0,0.3561931420573828,0.1995,0,0.3561931420573828,0.1995
EMOTIONS | BERT finetune_dropout_0.5,0.8054103107039454,0.7525402689771349,0.35084337349397593,0.2941482249564799,0,0.35084337349397593,0.172,0,0.35084337349397593,0.172
