Model,Train F1 Micro,Train F1 Macro,Test F1 Micro,Test F1 Macro,Best Epoch (Acc),Best F1 (Acc),Best Accuracy (Acc),Best Epoch (F1),Best F1 (F1),Best Accuracy (F1)
THEMES_KEYWORDS | MLP 2-layer,0.6894308943089431,0.34036817529827235,0.5528647371529829,0.2694042413951564,92,0.5520523497917906,0.39373040752351096,95,0.5543446244477173,0.3924764890282132
THEMES_KEYWORDS | MLP 3-layer,0.7355371900826446,0.3728392536496744,0.5382156349898285,0.26648675654588605,88,0.5465116279069767,0.39122257053291537,88,0.5465116279069767,0.39122257053291537
THEMES_KEYWORDS | cnn_large_weighted_bce_dropout_0.5_learning_rate_e-5,0.7561471245681772,0.804305295913506,0.591356783919598,0.40318690827875486,96,0.590104585679807,0.2664576802507837,97,0.5939516129032258,0.2658307210031348
THEMES_KEYWORDS | cnn_large_weighted_bce_dropout_0.4_learning_rate_e-5,0.8207171314741036,0.8752702776188874,0.6020254255548373,0.4080977401442683,96,0.6023116438356164,0.30595611285266455,92,0.6058686932657801,0.2946708463949843
THEMES_KEYWORDS | cnn_large_weighted_bce_dropout_0.5_learning_rate_e-6,0.4896689783370272,0.3413691436176629,0.4710370161062447,0.3049649160373413,97,0.47442528735632183,0.05517241379310345,97,0.47442528735632183,0.05517241379310345
THEMES_KEYWORDS | cnn_large_weighted_bce_dropout_0.4_learning_rate_e-6,0.4997986454329123,0.3603110697468188,0.48104575163398694,0.30449566206145495,99,0.48104575163398694,0.05454545454545454,97,0.4816799420709631,0.050156739811912224
THEMES_KEYWORDS | BiLSTM bilstm_default,0.9996780217657286,0.9997521608064832,0.5355163727959698,0.34273717455162567,68,0.5412844036697247,0.361128526645768,15,0.5601450735442273,0.2225705329153605
THEMES_KEYWORDS | BiLSTM bilstm_small_hidden,0.9997424008243173,0.999891344937184,0.5308947108255067,0.3220921820759584,96,0.542398022249691,0.35172413793103446,22,0.5540432345876701,0.20752351097178684
THEMES_KEYWORDS | BiLSTM bilstm_large_hidden,1.0,1.0,0.5392282136468183,0.35178657297889115,69,0.5389997408655092,0.3730407523510972,19,0.5638643752902927,0.32601880877742945
THEMES_KEYWORDS | BiLSTM bilstm_more_layers,0.9997425334706488,0.9996528550698272,0.529019510990368,0.3085522772192987,92,0.5322621139844338,0.34545454545454546,15,0.5561694290976059,0.23887147335423198
THEMES_KEYWORDS | BiLSTM bilstm_more_dropout,0.9614757184088343,0.9616990051610963,0.5226894749346638,0.32498922896573473,66,0.542907180385289,0.3561128526645768,24,0.5558225912169543,0.25705329153605017
THEMES_KEYWORDS | BiLSTM bilstm_lr_1e5,0.7453046744574291,0.83094332214265,0.5417855686913983,0.34832463717205453,97,0.555442522889115,0.2206896551724138,94,0.5586206896551724,0.21379310344827587
THEMES_KEYWORDS | BiLSTM bilstm_lr_1e6,0.4458369442037198,0.3054037217066737,0.44119989381470665,0.29355447021091696,97,0.43946426203421296,0.03322884012539185,99,0.44119989381470665,0.03260188087774295
THEMES_KEYWORDS | BERT finetune_default,0.9998712501609373,0.9998422370040718,0.661706085570024,0.517710222039039,73,0.6743810548977395,0.5598746081504702,58,0.6807291666666667,0.5385579937304075
THEMES_KEYWORDS | BERT finetune_lr_1e5,0.9999356209360716,0.9999817598132205,0.6613798572561459,0.4999372473909095,96,0.6691689008042896,0.5429467084639499,70,0.6771819137749737,0.5272727272727272
THEMES_KEYWORDS | BERT finetune_lr_1e6,0.9728634015562676,0.9740716047612265,0.64697265625,0.46829952642281236,98,0.6482792287039297,0.47210031347962383,98,0.6482792287039297,0.47210031347962383
THEMES_KEYWORDS | BERT finetune_dropout_0.4,0.9704575163398693,0.9882067746786816,0.6435162700339971,0.4867212173380098,90,0.6510391493475108,0.464576802507837,90,0.6510391493475108,0.464576802507837
THEMES_KEYWORDS | BERT finetune_dropout_0.5,0.9587951493023862,0.9114411772896915,0.6354418155480445,0.47331609229836263,97,0.6419098143236074,0.4570532915360502,91,0.6422939068100358,0.4463949843260188
