Model,Train F1 Micro,Train F1 Macro,Test F1 Micro,Test F1 Macro,Best Epoch (Acc),Best F1 (Acc),Best Accuracy (Acc),Best Epoch (F1),Best F1 (F1),Best Accuracy (F1)
TRIGGERS_KEYWORDS | MLP 2-layer,0.5966402780459548,0.3067051656065884,0.4392220421393841,0.2226151769729788,98,0.4530386740331492,0.3405698778833107,98,0.4530386740331492,0.3405698778833107
TRIGGERS_KEYWORDS | MLP 3-layer,0.6155848986423657,0.3170465771644996,0.45810914681014603,0.2340002904724381,94,0.4659606656580938,0.36363636363636365,94,0.4659606656580938,0.36363636363636365
TRIGGERS_KEYWORDS | cnn_large_weighted_bce_dropout_0.5_learning_rate_e-5,0.7186915887850467,0.8154795687750713,0.5271098538425271,0.330716995951137,92,0.5265133740028156,0.24151967435549526,98,0.5296630280018985,0.23473541383989144
TRIGGERS_KEYWORDS | cnn_large_weighted_bce_dropout_0.4_learning_rate_e-5,0.7852147852147852,0.8615670639468727,0.5341365461847389,0.3248895938754516,97,0.5340626553953257,0.2672998643147897,98,0.5426653883029722,0.24694708276797828
TRIGGERS_KEYWORDS | cnn_large_weighted_bce_dropout_0.5_learning_rate_e-6,0.44069952305246424,0.3323208285037709,0.40950871632329633,0.2826818798030143,96,0.40964630225080384,0.028493894165535955,98,0.41306436119116235,0.025780189959294438
TRIGGERS_KEYWORDS | cnn_large_weighted_bce_dropout_0.4_learning_rate_e-6,0.4545682521106746,0.3432393309495798,0.4157416750756811,0.2829044281925742,98,0.4242629617078956,0.05698778833107191,98,0.4242629617078956,0.05698778833107191
TRIGGERS_KEYWORDS | BiLSTM bilstm_default,0.9993821439604572,0.9914312764922522,0.47015384615384614,0.2758443228565888,58,0.4807809640024405,0.37720488466757124,19,0.5201017811704834,0.26865671641791045
TRIGGERS_KEYWORDS | BiLSTM bilstm_small_hidden,0.9998454643795395,0.9999333333333333,0.4711481261154075,0.26966108554211426,69,0.48043347381095725,0.373134328358209,30,0.516028955532575,0.2862957937584803
TRIGGERS_KEYWORDS | BiLSTM bilstm_large_hidden,0.881619937694704,0.9323455581785796,0.43510506798516685,0.2538359198840814,71,0.49125,0.3989145183175034,14,0.517971442639094,0.2496607869742198
TRIGGERS_KEYWORDS | BiLSTM bilstm_more_layers,1.0,1.0,0.4734594264795607,0.2813399902267032,80,0.48495788206979545,0.3853459972862958,18,0.5026014568158168,0.2808683853459973
TRIGGERS_KEYWORDS | BiLSTM bilstm_more_dropout,0.9998454166022569,0.9997346072186837,0.4884287454323995,0.2959417242201041,81,0.4887537993920973,0.3894165535956581,25,0.5215626585489599,0.2876526458616011
TRIGGERS_KEYWORDS | BiLSTM bilstm_lr_1e5,0.6618384401114206,0.7021054448763414,0.4988784208165096,0.32850616794696375,95,0.5015645954403218,0.19131614654002713,95,0.5015645954403218,0.19131614654002713
TRIGGERS_KEYWORDS | BiLSTM bilstm_lr_1e6,0.4028353819470628,0.30130287477176176,0.38604930847865304,0.2805788001762956,96,0.38489208633093525,0.031207598371777476,99,0.38604930847865304,0.031207598371777476
TRIGGERS_KEYWORDS | BERT finetune_default,1.0,1.0,0.6035353535353535,0.4803470479086862,97,0.6107255520504732,0.5413839891451832,44,0.6204334365325077,0.5291723202170964
TRIGGERS_KEYWORDS | BERT finetune_lr_1e5,0.9998454643795395,0.9997357293868921,0.5873320537428023,0.39437653318933963,93,0.6026700572155118,0.5332428765264586,88,0.6070975918884665,0.5251017639077341
TRIGGERS_KEYWORDS | BERT finetune_lr_1e6,0.9635304934109715,0.8966118812106921,0.5862457722660653,0.4115891189830342,97,0.5945343000557725,0.4450474898236092,90,0.5957213384530993,0.43012211668928085
TRIGGERS_KEYWORDS | BERT finetune_dropout_0.4,0.969129166026724,0.9389327893038943,0.571919770773639,0.3766983827915299,99,0.571919770773639,0.4491180461329715,78,0.5816272965879266,0.3894165535956581
TRIGGERS_KEYWORDS | BERT finetune_dropout_0.5,0.9558465286236297,0.885216613511887,0.5706214689265536,0.41248659171436736,98,0.5741789354473387,0.43012211668928085,73,0.5779816513761468,0.35956580732700133
